Feature,Importance
Link Length (m),0.5649511630311012
AADT Diesel LGV,0.10028434390559979
AADT 2019 - HGVs - Articulated - 5 Axles,0.07964983021036655
AADT 2019 - HGVs - Articulated - 6 Axles,0.07522456543535297
AADT 2019 - HGVs - Articulated - 3 to 4 Axles,0.06224095786477434
AADT Diesel Car,0.01835973577711111
AADT Petrol LGV,0.016090489630947793
AADT Electric Car,0.015366343911995744
AADT Petrol Car,0.01497058246436572
Speed (km/hr) - Except Buses,0.008335491541809566
AADT 2019 - HGVs - Rigid - 2 Axles,0.008106214329363787
AADT 2019 - Coaches,0.005202739195034011
Road Classification_M25,0.00513272876709192
AADT Diesel PHV,0.00437071561510806
AADT 2019 - HGVs - Rigid - 4 or more Axles,0.00397776301631779
AADT Electric LGV,0.00395786965466099
AADT 2019 - HGVs - Rigid - 3 Axles,0.00258068923068832
AADT Petrol PHV,0.002542397377313585
AADT Motorcycle,0.0022581006121556784
AADT Taxi,0.00221585248688912
AADT 2019 - Buses,0.0020730454158709526
AADT Electric PHV,0.0019487155762368928
Road Classification_M4,5.652130475757556e-05
Road Classification_A Road,5.302581126489196e-05
Road Classification_C / Unclassified Road,3.9602923253021565e-05
Road Classification_M1,5.729460438574841e-06
Road Classification_B Road,3.547119608226982e-06
Road Classification_M11,1.2383305218831154e-06
